COM;Pot_Cont;Escalao;ORD;COD_Proposta;Contagem;TF;TV|TVFV|TVP;TVV|TVC;TVVz;TFGN;TVGN
ACCIONA;1,15;1;;ACCIONA_01;1;0,1757;0,179943046;;;;
ACCIONA;2,3;2;;ACCIONA_01;1;0,2564;0,179943046;;;;
ACCIONA;3,45;3;;ACCIONA_01;1;0,3106;0,179943046;;;;
ACCIONA;4,6;4;;ACCIONA_01;1;0,4082;0,179943046;;;;
ACCIONA;5,75;;;ACCIONA_01;1;0,4986;0,179943046;;;;
ACCIONA;6,9;;;ACCIONA_01;1;0,5799;0,179943046;;;;
ACCIONA;10,35;;;ACCIONA_01;1;0,8073;0,179943046;;;;
ACCIONA;13,8;;;ACCIONA_01;1;1,0201;0,179943046;;;;
ACCIONA;17,25;;;ACCIONA_01;1;1,2241;0,179943046;;;;
ACCIONA;20,7;;;ACCIONA_01;1;1,4696;0,179943046;;;;
ACCIONA;1,15;1;;ACCIONA_02;1;0,1757;0,220696626;;;;
ACCIONA;2,3;2;;ACCIONA_02;1;0,2564;0,220696626;;;;
ACCIONA;3,45;3;;ACCIONA_02;1;0,3106;0,220696626;;;;
ACCIONA;4,6;4;;ACCIONA_02;1;0,4082;0,220696626;;;;
ACCIONA;5,75;;;ACCIONA_02;1;0,4986;0,220696626;;;;
ACCIONA;6,9;;;ACCIONA_02;1;0,5799;0,220696626;;;;
ACCIONA;10,35;;;ACCIONA_02;1;0,8073;0,220696626;;;;
ACCIONA;13,8;;;ACCIONA_02;1;1,0201;0,220696626;;;;
ACCIONA;17,25;;;ACCIONA_02;1;1,2241;0,220696626;;;;
ACCIONA;20,7;;;ACCIONA_02;1;1,4696;0,220696626;;;;
ACCIONA;1,15;;;ACCIONA_01;2;0,1757;0,2037708856;0,1336836604;;;
ACCIONA;2,3;;;ACCIONA_01;2;0,2564;0,2037708856;0,1336836604;;;
ACCIONA;3,45;;;ACCIONA_01;2;0,3106;0,2037708856;0,1336836604;;;
ACCIONA;4,6;;;ACCIONA_01;2;0,4082;0,2037708856;0,1336836604;;;
ACCIONA;5,75;;;ACCIONA_01;2;0,4986;0,2037708856;0,1336836604;;;
ACCIONA;6,9;;;ACCIONA_01;2;0,5799;0,2037708856;0,1336836604;;;
ACCIONA;10,35;;;ACCIONA_01;2;0,8073;0,2037708856;0,1336836604;;;
ACCIONA;13,8;;;ACCIONA_01;2;1,0201;0,2037708856;0,1336836604;;;
ACCIONA;17,25;;;ACCIONA_01;2;1,2241;0,2037708856;0,1336836604;;;
ACCIONA;20,7;;;ACCIONA_01;2;1,4696;0,2037708856;0,1336836604;;;
ACCIONA;1,15;;;ACCIONA_02;2;0,1757;0,173515106;0,247003082;;;
ACCIONA;2,3;;;ACCIONA_02;2;0,2564;0,173515106;0,247003082;;;
ACCIONA;3,45;;;ACCIONA_02;2;0,3106;0,173515106;0,247003082;;;
ACCIONA;4,6;;;ACCIONA_02;2;0,4082;0,173515106;0,247003082;;;
ACCIONA;5,75;;;ACCIONA_02;2;0,4986;0,173515106;0,247003082;;;
ACCIONA;6,9;;;ACCIONA_02;2;0,5799;0,173515106;0,247003082;;;
ACCIONA;10,35;;;ACCIONA_02;2;0,8073;0,173515106;0,247003082;;;
ACCIONA;13,8;;;ACCIONA_02;2;1,0201;0,173515106;0,247003082;;;
ACCIONA;17,25;;;ACCIONA_02;2;1,2241;0,173515106;0,247003082;;;
ACCIONA;20,7;;;ACCIONA_02;2;1,4696;0,173515106;0,247003082;;;
ACCIONA;1,15;;;ACCIONA_01;3;0,1757;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;2,3;;;ACCIONA_01;3;0,2564;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;3,45;;;ACCIONA_01;3;0,3106;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;4,6;;;ACCIONA_01;3;0,4082;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;5,75;;;ACCIONA_01;3;0,4986;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;6,9;;;ACCIONA_01;3;0,5799;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;10,35;;;ACCIONA_01;3;0,8073;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;13,8;;;ACCIONA_01;3;1,0201;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;17,25;;;ACCIONA_01;3;1,2241;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;20,7;;;ACCIONA_01;3;1,4696;0,3683271416;0,1593083832;0,1336836604;;
ACCIONA;27,6;;;ACCIONA_01;3;1,8501;0,3682271416;0,1713083832;0,1328836604;;
ACCIONA;34,5;;;ACCIONA_01;3;2,3072;0,3682271416;0,1713083832;0,1328836604;;
ACCIONA;41,4;;;ACCIONA_01;3;2,7693;0,3682271416;0,1713083832;0,1328836604;;
ACCIONA;1,15;;;ACCIONA_02;3;0,1757;0,418750028;0,192003321;0,178903082;;
ACCIONA;2,3;;;ACCIONA_02;3;0,2564;0,418750028;0,192003321;0,178903082;;
ACCIONA;3,45;;;ACCIONA_02;3;0,3106;0,418750028;0,192003321;0,178903082;;
ACCIONA;4,6;;;ACCIONA_02;3;0,4082;0,418750028;0,192003321;0,178903082;;
ACCIONA;5,75;;;ACCIONA_02;3;0,4986;0,418750028;0,192003321;0,178903082;;
ACCIONA;6,9;;;ACCIONA_02;3;0,5799;0,418750028;0,192003321;0,178903082;;
ACCIONA;10,35;;;ACCIONA_02;3;0,8073;0,418750028;0,192003321;0,178903082;;
ACCIONA;13,8;;;ACCIONA_02;3;1,0201;0,418750028;0,192003321;0,178903082;;
